AbhEri
AbhOgi
ahIrbhairav
Ahirbhairavi
Ahiri
amrutabehAg
amrutavAhini
amrutavarSiNi
Anandabhairavi
AndhAli
AndOLikA
Arabhi
asAvEri
aThANA
bAgEshrI
bahudAri
balahamsa
bangALa
basantbahAr
bauLi
bEgaDA
behAg
bhairavam
bhairavi
bhairavi/mukhAri
bhAnumati
bhavabharaNam
bhavAni
bhavapriyA
bhimpalAs
bhinnashaDjam
bhOgachAyAnaTa
bhOgavasantam
bhooshAvaLi
bhUpALa
bhUpaLaM
bhUshAvaLi
bhushAvati
bhuvanagAndhAri
bilahari
bindumAlini
bowLi
brndAvani
brundAvanasArangA
BrundAvani
budhamanOhari
cakrapradeepta
cakravAkam
calanATTai
candrahasitam
candrajyOti
candrakauns
candrikA
cArukEsi
caturangiNi
cencukAmbhOji
cenjuruTi
chandrakauns
chAyAgauLa
chAyAnaTa
chAyAranjani
chayAtarangiNi
chenjuruti
cintAmanNi
citrAmbari
cittaranjani
darbAr
darbArikAnaDa
dEsAkshi
dEsh
dEshAkSi
dEshyatODi
dEvagAndhAri
dEvakriyA
dEvamanOhari
dEvAmrtavarshaNi
dEvaranjit
dhamavati
dhanAshrI
dhanyAsi
dharmavati
dhAtuvardhani
dhavaLAmbari
dhavaLAngi
dhEnukA
dIpakam
divyamaNi
dundubi
durga
durvanki
dvijAvanti
gamakakriyA
gamanAshramam
gambhIranATai
gambhIravANi
gAnamUrti
gAnasAmavarALi
gAnavAridhi
gAngEyabhUshaNi
garuDadhvani
gauDamalhAr
gauLa
gauLipantu
gauri
gaurimanOhari
gaurIvELAvaLi
gauwLipantu
gavAmbOdhi
gAyakapriyA
ghaNTA
gItapriyA
gOpikAvasantam
guharanjani
guNDakriyA
gUrjari
gurupriyA
hamIrkalyANi
hamsadeepika
hamsadhvani
hamsagamini
hamsanAdam
hamsAnandi
hamsavinOdini
hanumatODi
harikAmbhOji
harinArAyaNi
hATakAmbari
hEmavati
hindOLam
hindOLavasantam
hindustAnibehAg
hindustAnikApi
husEni
IshamanOhari
jaganmOhini
jalArnavam
janaranjani
janAvaLi
jayamanOhari
jayanArAyaNi
jayantasenA
jayantashrI
jhAlavarALi
jhanjUTi
jhankAradhvani
jingaLa
jOnpuri
jUjAhuLi
junjhUthi
jyOti
jyOtisvarUpiNi
kaikavashi
kalakaNTi
kalAnidhi
kalAvati
kalgaDa
kalyANavasantam
kalyANi
kamalamanOhari
kAmavardhini
kAmbOji
kAnaDA
kanakAmbari
kanakAngi
kannAadabangALA
kannaDa
kannaDagauLa
kAntAmaNI
kApi
kApinArAyaNi
karaharapriya
karNaranjani
karnATakabehAg
karnATakadEvagAndhAr
karnATakakApi
karnATka shuddhasAvE
kAshirAmakriyA
kathanakutUhalam
kEdAragauLa
kEdAram
kEsari
khamAs
kharaharapriyA
kiraNAvaLi
kIravANi
kOkila
kOkiladhvani
kOkilapriyA
kOkilAravam
kOkilavarALi
kOsalam
kumudakriyA
kunjari
kuntaLam
kuntalavarALi
kurinji
kuvalabharaNam
lalitA
lalitapancamam
latAngi
lavangi
mAdhavamanOhari
madhuvanti
madhyamAvati
mahatI
mAhuri
malahari
mALavashrI
mALavi
malayamArutam
malhAr
mAnavati
mAND
mandAri
mangaLakaishiki
maNirangu
manjari
mAnji
manOhari
manOrama
manOranjani
mAraranjani
mArgadEsi
mArgahindOLam
maruvadhanyAsi
mAyAmALavagauLa
mAyapradeepta
mEgharanjani
mishrashivaranjani
misrashivaranjani
mOhanakalyANi
mOhanam
mOhanAngi
mukhAri
muraLI
nAdanAmakriyA
nAdatarangiNi
nAdavarAngiNi
nAgabhooshaNi
nAgagAndhAri
nAganandini
nAgasvarAvaLi
naLinakAnti
nAmadEsi
nAmanArAyaNi
nArAyaNagauLa
nArAyaNi
nArirItigauLa
nAsAmaNi
nAsikAbhUSai
nAsikAbhUshaNi
nATa
naTabhairavi
nATakapriyA
naTanArAyaNi
nATTai
nATTakurinji
navaneetam
navarasakannaDa
navaratnavilAsam
navarOj
nAyaki
nIlAmbari
nirOshTa
nItimati
pADi
pahADi
pantuvarALi
paraju
paras
pashupatipriyA
pAvani
phalamanjari
phEnadhyuti
pIlu
pratApavarALi
punnAgavarALi
pUrNacandrikA
pUrNalalitA
pUrNashaDjam
pUrvagauLa
pUrvi
pUrvikalyANi
puSpalatikA
rAgacUDAmaNi
rAgamAlikA
rAgapanjaram
rAgavardani
rAgavardhani
rAgheshri
raghupriyA
rAmakali
rAmamanOhari
rAmapriyA
ranjani
rasALi
rasamanjari
rasikapriyA
rasikaranjani
ratnAngi
ravicandrikA
ravikriyA
rEvagupti
rEvati
rishabhapriyA
rItigauLa
rOhiNi
roopavati
rudrapriyA
rUpavati
sahAnA
saindhavi
sALagabhairavi
sAlagam
sAlanganATa
sAma
sAmakAdambari
sAmanta
santAnamanjari
sAramati
sAranga
sArangamallAr
sArangatarangiNi
sarasAngi
sarasvati
sarasvatimanOhari
sarvashrI
saurAshtram
saurASTra
sauvIra
sAvEri
sEnAvati
shaDvidhamArgiNi
shankarAbharaNam
shaNmukhapriyA
sharAvati
shivakAmbhOji
shivaranjani
shivashakti
shoolini
shrI
shrImaNi
shrIranjani
shrutiranjani
shubhapantuvarALi
shuddhabangALa
shuddhabhairavi
shuddhadEsi
shuddhadhanyAsi
shuddhahindOLam
shuddhasAvEri
shuddhasImantini
shuddhatODi
shuddhavasantA
shUlini
shyAmA
shyAmaLAngi
siddhasAnA
siDhDhi
simhavAhini
simhEndramadhyamam
sindhukannaDa
sindubhairavi
sindumandAri
sindurAmakriyA
sourAshTram
sucaritra
suddalalita
suguNabhUshaNI
sUkSma
sumadhyuti
sumanapriyA
sumukhi
sunAdavinOdini
supOshiNi
supradIpa
suraranjani
suraTi
sUryakAntam
suvarNAngi
svarabhUshaNi
svarAvaLi
takka
tAnarUpi
tANDavam
tanukIrti
tarangiNi
tilang
tIvrachandrika
tODi
udayaravicandrikA
umAbharaNam
urmikA
vAcaspati
vAgadIshvari
vakuLAbharaNam
valaji
vallabhI
vamshavati
vanaspati
vanAvaLi
vandanadhAriNi
varALi
varamu
vardhani
varuNapriyA
vasantA
vasantabhairavi
vasantavarALi
vAsanti
vATIvasantabhairavi
veenAdhAri
vEgavAhini
vijayanAgari
vijayashrI
vijayaswaraswati
vijayavasantam
vINAdhAri
vIravasantam
vishNupriyA
vishvambari
vivardhani
yadukulakAmbhOji
yAgapriyA
yaman
yamunAkalyANi
